날짜,지역,확진자수
2020.03.02,서울,87
2020.03.02,부산,83
2020.03.02,대구,2704
2020.03.02,인천,6
2020.03.02,광주,9
2020.03.02,대전,13
2020.03.02,울산,20
2020.03.02,세종,1
2020.03.02,경기,89
2020.03.02,강원,15
2020.03.02,충북,11
2020.03.02,충남,68
2020.03.02,전북,6
2020.03.02,전남,3
2020.03.02,경북,556
2020.03.02,경남,63
2020.03.02,제주,2
2020.03.03,서울,98
2020.03.03,부산,90
2020.03.03,대구,3600
2020.03.03,인천,7
2020.03.03,광주,11
2020.03.03,대전,14
2020.03.03,울산,20
2020.03.03,세종,1
2020.03.03,경기,94
2020.03.03,강원,20
2020.03.03,충북,11
2020.03.03,충남,81
2020.03.03,전북,7
2020.03.03,전남,5
2020.03.03,경북,685
2020.03.03,경남,64
2020.03.03,제주,3
2020.03.04,서울,99
2020.03.04,부산,93
2020.03.04,대구,4006
2020.03.04,인천,9
2020.03.04,광주,13
2020.03.04,대전,15
2020.03.04,울산,23
2020.03.04,세종,1
2020.03.04,경기,101
2020.03.04,강원,21
2020.03.04,충북,11
2020.03.04,충남,82
2020.03.04,전북,7
2020.03.04,전남,5
2020.03.04,경북,774
2020.03.04,경남,65
2020.03.04,제주,3
2020.03.05,서울,103
2020.03.05,부산,92
2020.03.05,대구,4327
2020.03.05,인천,9
2020.03.05,광주,14
2020.03.05,대전,16
2020.03.05,울산,23
2020.03.05,세종,1
2020.03.05,경기,110
2020.03.05,강원,23
2020.03.05,충북,12
2020.03.05,충남,86
2020.03.05,전북,7
2020.03.05,전남,4
2020.03.05,경북,861
2020.03.05,경남,74
2020.03.05,제주,4
2020.03.06,서울,105
2020.03.06,부산,95
2020.03.06,대구,4694
2020.03.06,인천,9
2020.03.06,광주,13
2020.03.06,대전,18
2020.03.06,울산,23
2020.03.06,세종,1
2020.03.06,경기,120
2020.03.06,강원,25
2020.03.06,충북,15
2020.03.06,충남,90
2020.03.06,전북,7
2020.03.06,전남,4
2020.03.06,경북,984
2020.03.06,경남,77
2020.03.06,제주,4
2020.03.07,서울,108
2020.03.07,부산,96
2020.03.07,대구,5084
2020.03.07,인천,9
2020.03.07,광주,13
2020.03.07,대전,18
2020.03.07,울산,23
2020.03.07,세종,2
2020.03.07,경기,130
2020.03.07,강원,26
2020.03.07,충북,20
2020.03.07,충남,92
2020.03.07,전북,7
2020.03.07,전남,4
2020.03.07,경북,1049
2020.03.07,경남,82
2020.03.07,제주,4
2020.03.08,서울,120
2020.03.08,부산,97
2020.03.08,대구,5381
2020.03.08,인천,9
2020.03.08,광주,13
2020.03.08,대전,18
2020.03.08,울산,24
2020.03.08,세종,3
2020.03.08,경기,141
2020.03.08,강원,27
2020.03.08,충북,24
2020.03.08,충남,98
2020.03.08,전북,7
2020.03.08,전남,4
2020.03.08,경북,1081
2020.03.08,경남,83
2020.03.08,제주,4
2020.03.09,서울,130
2020.03.09,부산,96
2020.03.09,대구,5571
2020.03.09,인천,9
2020.03.09,광주,15
2020.03.09,대전,19
2020.03.09,울산,24
2020.03.09,세종,6
2020.03.09,경기,152
2020.03.09,강원,28
2020.03.09,충북,25
2020.03.09,충남,102
2020.03.09,전북,7
2020.03.09,전남,4
2020.03.09,경북,1107
2020.03.09,경남,83
2020.03.09,제주,4
2020.03.10,서울,141
2020.03.10,부산,96
2020.03.10,대구,5663
2020.03.10,인천,13
2020.03.10,광주,15
2020.03.10,대전,18
2020.03.10,울산,24
2020.03.10,세종,8
2020.03.10,경기,163
2020.03.10,강원,28
2020.03.10,충북,25
2020.03.10,충남,104
2020.03.10,전북,7
2020.03.10,전남,4
2020.03.10,경북,1117
2020.03.10,경남,83
2020.03.10,제주,4
2020.03.11,서울,193
2020.03.11,부산,98
2020.03.11,대구,5794
2020.03.11,인천,25
2020.03.11,광주,15
2020.03.11,대전,18
2020.03.11,울산,25
2020.03.11,세종,10
2020.03.11,경기,175
2020.03.11,강원,29
2020.03.11,충북,27
2020.03.11,충남,112
2020.03.11,전북,7
2020.03.11,전남,4
2020.03.11,경북,1135
2020.03.11,경남,84
2020.03.11,제주,4
2020.03.12,서울,212
2020.03.12,부산,99
2020.03.12,대구,5867
2020.03.12,인천,25
2020.03.12,광주,15
2020.03.12,대전,20
2020.03.12,울산,25
2020.03.12,세종,15
2020.03.12,경기,178
2020.03.12,강원,29
2020.03.12,충북,27
2020.03.12,충남,114
2020.03.12,전북,7
2020.03.12,전남,4
2020.03.12,경북,1143
2020.03.12,경남,85
2020.03.12,제주,4
2020.03.13,서울,225
2020.03.13,부산,100
2020.03.13,대구,5928
2020.03.13,인천,27
2020.03.13,광주,15
2020.03.13,대전,22
2020.03.13,울산,27
2020.03.13,세종,32
2020.03.13,경기,185
2020.03.13,강원,29
2020.03.13,충북,27
2020.03.13,충남,115
2020.03.13,전북,7
2020.03.13,전남,4
2020.03.13,경북,1147
2020.03.13,경남,85
2020.03.13,제주,4
2020.03.14,서울,238
2020.03.14,부산,103
2020.03.14,대구,5990
2020.03.14,인천,28
2020.03.14,광주,15
2020.03.14,대전,22
2020.03.14,울산,27
2020.03.14,세종,38
2020.03.14,경기,200
2020.03.14,강원,29
2020.03.14,충북,28
2020.03.14,충남,115
2020.03.14,전북,7
2020.03.14,전남,4
2020.03.14,경북,1153
2020.03.14,경남,85
2020.03.14,제주,4
2020.03.15,서울,247
2020.03.15,부산,106
2020.03.15,대구,6031
2020.03.15,인천,30
2020.03.15,광주,16
2020.03.15,대전,22
2020.03.15,울산,28
2020.03.15,세종,39
2020.03.15,경기,211
2020.03.15,강원,29
2020.03.15,충북,31
2020.03.15,충남,115
2020.03.15,전북,7
2020.03.15,전남,4
2020.03.15,경북,1157
2020.03.15,경남,85
2020.03.15,제주,4
2020.03.16,서울,253
2020.03.16,부산,107
2020.03.16,대구,6066
2020.03.16,인천,30
2020.03.16,광주,16
2020.03.16,대전,22
2020.03.16,울산,28
2020.03.16,세종,40
2020.03.16,경기,231
2020.03.16,강원,29
2020.03.16,충북,31
2020.03.16,충남,115
2020.03.16,전북,7
2020.03.16,전남,4
2020.03.16,경북,1164
2020.03.16,경남,85
2020.03.16,제주,4
2020.03.17,서울,265
2020.03.17,부산,107
2020.03.17,대구,6098
2020.03.17,인천,31
2020.03.17,광주,16
2020.03.17,대전,22
2020.03.17,울산,28
2020.03.17,세종,40
2020.03.17,경기,262
2020.03.17,강원,29
2020.03.17,충북,31
2020.03.17,충남,115
2020.03.17,전북,7
2020.03.17,전남,4
2020.03.17,경북,1169
2020.03.17,경남,86
2020.03.17,제주,4
2020.03.18,서울,270
2020.03.18,부산,107
2020.03.18,대구,6144
2020.03.18,인천,32
2020.03.18,광주,17
2020.03.18,대전,22
2020.03.18,울산,30
2020.03.18,세종,41
2020.03.18,경기,277
2020.03.18,강원,30
2020.03.18,충북,32
2020.03.18,충남,118
2020.03.18,전북,9
2020.03.18,전남,5
2020.03.18,경북,1178
2020.03.18,경남,86
2020.03.18,제주,4
2020.03.19,서울,282
2020.03.19,부산,107
2020.03.19,대구,6241
2020.03.19,인천,32
2020.03.19,광주,17
2020.03.19,대전,22
2020.03.19,울산,36
2020.03.19,세종,41
2020.03.19,경기,295
2020.03.19,강원,30
2020.03.19,충북,33
2020.03.19,충남,118
2020.03.19,전북,10
2020.03.19,전남,5
2020.03.19,경북,1190
2020.03.19,경남,86
2020.03.19,제주,4
2020.03.20,서울,299
2020.03.20,부산,108
2020.03.20,대구,6275
2020.03.20,인천,36
2020.03.20,광주,18
2020.03.20,대전,22
2020.03.20,울산,36
2020.03.20,세종,41
2020.03.20,경기,309
2020.03.20,강원,30
2020.03.20,충북,33
2020.03.20,충남,119
2020.03.20,전북,10
2020.03.20,전남,5
2020.03.20,경북,1203
2020.03.20,경남,87
2020.03.20,제주,4
2020.03.21,서울,314
2020.03.21,부산,108
2020.03.21,대구,6344
2020.03.21,인천,40
2020.03.21,광주,18
2020.03.21,대전,22
2020.03.21,울산,36
2020.03.21,세종,41
2020.03.21,경기,321
2020.03.21,강원,30
2020.03.21,충북,34
2020.03.21,충남,119
2020.03.21,전북,10
2020.03.21,전남,5
2020.03.21,경북,1243
2020.03.21,경남,87
2020.03.21,제주,4
2020.03.22,서울,324
2020.03.22,부산,108
2020.03.22,대구,6387
2020.03.22,인천,40
2020.03.22,광주,19
2020.03.22,대전,24
2020.03.22,울산,36
2020.03.22,세종,41
2020.03.22,경기,337
2020.03.22,강원,30
2020.03.22,충북,35
2020.03.22,충남,120
2020.03.22,전북,10
2020.03.22,전남,6
2020.03.22,경북,1254
2020.03.22,경남,88
2020.03.22,제주,4
2020.03.23,서울,330
2020.03.23,부산,109
2020.03.23,대구,6411
2020.03.23,인천,40
2020.03.23,광주,19
2020.03.23,대전,24
2020.03.23,울산,36
2020.03.23,세종,42
2020.03.23,경기,351
2020.03.23,강원,30
2020.03.23,충북,37
2020.03.23,충남,120
2020.03.23,전북,10
2020.03.23,전남,6
2020.03.23,경북,1256
2020.03.23,경남,89
2020.03.23,제주,4
2020.03.24,서울,334
2020.03.24,부산,111
2020.03.24,대구,6442
2020.03.24,인천,41
2020.03.24,광주,19
2020.03.24,대전,24
2020.03.24,울산,36
2020.03.24,세종,42
2020.03.24,경기,366
2020.03.24,강원,30
2020.03.24,충북,38
2020.03.24,충남,120
2020.03.24,전북,10
2020.03.24,전남,6
2020.03.24,경북,1257
2020.03.24,경남,90
2020.03.24,제주,4
2020.03.25,서울,347
2020.03.25,부산,112
2020.03.25,대구,6456
2020.03.25,인천,42
2020.03.25,광주,19
2020.03.25,대전,24
2020.03.25,울산,37
2020.03.25,세종,44
2020.03.25,경기,387
2020.03.25,강원,31
2020.03.25,충북,38
2020.03.25,충남,123
2020.03.25,전북,10
2020.03.25,전남,8
2020.03.25,경북,1262
2020.03.25,경남,90
2020.03.25,제주,6
2020.03.26,서울,360
2020.03.26,부산,112
2020.03.26,대구,6482
2020.03.26,인천,43
2020.03.26,광주,19
2020.03.26,대전,30
2020.03.26,울산,37
2020.03.26,세종,44
2020.03.26,경기,401
2020.03.26,강원,31
2020.03.26,충북,39
2020.03.26,충남,124
2020.03.26,전북,10
2020.03.26,전남,8
2020.03.26,경북,1274
2020.03.26,경남,90
2020.03.26,제주,6
2020.03.27,서울,372
2020.03.27,부산,113
2020.03.27,대구,6516
2020.03.27,인천,46
2020.03.27,광주,20
2020.03.27,대전,31
2020.03.27,울산,39
2020.03.27,세종,44
2020.03.27,경기,412
2020.03.27,강원,31
2020.03.27,충북,41
2020.03.27,충남,124
2020.03.27,전북,10
2020.03.27,전남,8
2020.03.27,경북,1283
2020.03.27,경남,91
2020.03.27,제주,7
2020.03.28,서울,390
2020.03.28,부산,114
2020.03.28,대구,6587
2020.03.28,인천,51
2020.03.28,광주,20
2020.03.28,대전,31
2020.03.28,울산,39
2020.03.28,세종,44
2020.03.28,경기,433
2020.03.28,강원,32
2020.03.28,충북,41
2020.03.28,충남,126
2020.03.28,전북,10
2020.03.28,전남,8
2020.03.28,경북,1285
2020.03.28,경남,91
2020.03.28,제주,8
2020.03.29,서울,410
2020.03.29,부산,117
2020.03.29,대구,6610
2020.03.29,인천,58
2020.03.29,광주,20
2020.03.29,대전,34
2020.03.29,울산,39
2020.03.29,세종,46
2020.03.29,경기,448
2020.03.29,강원,34
2020.03.29,충북,41
